customer_key,orders_count
C006906,156
C005316,149
C008798,147
C001299,146
C006321,144
C002002,144
C000152,144
C002278,144
C007553,143
C003361,143
C006551,142
C003396,142
C003577,142
C001677,141
C005674,141
C005926,140
C002968,140
C006481,140
C000586,140
C000938,139
C007163,139
C003115,139
C003051,139
C002086,139
C005101,139
C005461,139
C006083,139
C002670,138
C007487,138
C001438,138
C002222,138
C007286,138
C002283,138
C006375,137
C007793,137
C006326,137
C006412,137
C004301,137
C004492,137
C004497,137
C003892,137
C004349,137
C001566,137
C006138,136
C000111,136
C003040,136
C002492,136
C003200,136
C000983,136
C002893,136
C001350,136
C006081,136
C002864,136
C003457,136
C008506,135
C005582,135
C000754,135
C001274,135
C005844,135
C000273,135
C006435,135
C004595,135
C006005,135
C004027,135
C004990,135
C005885,135
C004449,135
C005541,135
C000943,135
C006752,135
C007924,135
C001511,135
C005934,135
C001845,135
C005960,135
C008457,135
C005046,135
C006341,134
C003917,134
C002407,134
C002870,134
C001484,134
C000099,134
C008311,134
C001427,134
C008934,134
C005956,134
C008846,134
C005154,134
C007386,134
C003491,134
C008738,134
C008692,134
C009168,134
C001055,134
C000396,134
C003671,134
C008619,134
C000231,134
C004930,134
C006598,134
C002181,134
C004717,133
C006998,133
C007477,133
C004970,133
C004599,133
C000769,133
C002436,133
C003403,133
C001875,133
C007102,133
C008639,133
C001604,133
C003218,133
C008401,133
C005345,133
C003175,133
C008309,133
C008717,133
C006767,133
C002658,133
C002112,133
C001292,133
C008307,132
C000933,132
C001168,132
C001406,132
C001424,132
C006787,132
C008320,132
C008325,132
C005003,132
C008788,132
C007576,132
C008613,132
C006235,132
C007993,132
C000758,132
C004656,132
C002518,132
C004384,132
C005483,132
C004648,132
C008339,132
C007673,132
C001461,132
C008080,132
C006885,132
C006573,132
C004418,132
C000160,132
C007608,132
C008805,132
C006564,132
C002282,132
C004323,132
C004396,132
C007232,132
C005556,131
C005908,131
C004771,131
C006246,131
C008005,131
C003405,131
C008471,131
C001571,131
C000817,131
C000169,131
C008165,131
C004393,131
C004073,131
C002215,131
C005158,131
C007968,131
C007213,131
C008638,131
C006949,131
C007421,131
C008708,131
C008588,131
C006020,131
C001620,131
C002244,131
C009121,131
C001978,131
C009081,131
C006982,131
C007692,131
C007953,131
C003534,131
C008142,131
C004751,131
C001799,131
C008068,131
C003903,131
C000526,131
C005943,131
C006400,130
C001455,130
C001158,130
C005068,130
C005146,130
C006184,130
C006589,130
C000842,130
C000258,130
C006350,130
C006987,130
C000877,130
C008870,130
C004407,130
C004607,130
C003316,130
C007624,130
C004597,130
C000301,130
C007489,130
C006510,130
C008367,130
C009152,130
C007287,130
C005241,130
C002268,130
C004720,130
C003852,130
C003306,130
C001780,130
C003686,130
C005244,130
C008944,130
C007709,130
C004197,130
C006729,130
C000823,130
C005604,130
C000321,130
C007967,130
C004260,130
C000034,130
C003678,130
C005928,130
C006630,129
C005543,129
C000269,129
C006303,129
C002826,129
C003555,129
C002946,129
C000519,129
C002669,129
C002672,129
C003891,129
C007205,129
C005410,129
C005750,129
C004238,129
C001596,129
C006926,129
C008375,129
C002718,129
C002310,129
C006933,129
C006791,129
C009018,129
C009037,129
C005331,129
C000100,129
C007551,129
C002197,129
C007726,129
C001279,129
C003706,129
C002534,129
C001966,129
C002337,129
C003087,129
C005917,129
C001031,129
C008170,129
C005042,129
C008287,129
C004428,129
C001088,129
C007612,129
C003683,129
C000242,129
C001601,129
C003615,129
C007113,129
C008386,129
C001027,129
C005877,129
C000711,129
C007294,129
C000602,129
C002136,128
C005743,128
C007136,128
C000600,128
C005315,128
C007500,128
C003034,128
C008768,128
C005275,128
C002601,128
C002809,128
C008545,128
C000392,128
C000337,128
C007344,128
C006105,128
C006866,128
C004320,128
C001812,128
C002760,128
C002146,128
C005831,128
C008486,128
C001197,128
C000805,128
C000681,128
C005602,128
C007210,128
C004718,128
C002248,128
C002796,128
C007888,128
C008848,128
C008269,128
C008324,128
C006691,128
C004091,128
C006902,128
C003076,128
C003220,128
C003775,128
C002190,128
C004645,128
C007767,128
C001414,128
C007671,128
C008626,128
C003921,128
C005903,128
C001848,128
C009131,128
C007127,128
C001527,128
C005883,128
C007314,128
C003012,128
C001492,128
C007074,128
C000904,127
C006749,127
C001426,127
C005691,127
C005376,127
C008872,127
C009020,127
C003675,127
C000428,127
C009156,127
C007095,127
C007082,127
C001727,127
C008381,127
C007372,127
C007298,127
C008900,127
C003851,127
C007751,127
C004984,127
C004570,127
C000723,127
C007112,127
C004379,127
C000246,127
C006648,127
C004979,127
C005795,127
C007759,127
C000975,127
C005208,127
C000011,127
C008139,127
C002494,127
C008470,127
C007937,127
C009094,127
C006988,127
C003617,127
C000921,127
C005412,127
C003085,127
C000726,127
C001922,127
C005856,127
C002178,127
C000622,127
C005927,127
C000092,127
C001775,127
C004375,127
C006633,127
C009130,127
C008913,127
C001241,127
C003093,127
C008758,127
C007046,127
C004066,127
C005089,127
C000467,127
C002412,127
C009167,127
C003195,127
C004994,127
C001210,127
C004980,127
C005004,127
C003794,127
C007096,127
C006712,127
C001391,127
C002445,127
C004446,127
C001871,127
C007171,126
C004063,126
C002617,126
C003774,126
C009106,126
C005153,126
C006864,126
C006889,126
C001136,126
C003937,126
C000255,126
C001472,126
C002100,126
C005549,126
C001078,126
C008806,126
C002211,126
C008564,126
C008190,126
C007257,126
C007038,126
C008699,126
C006288,126
C002141,126
C004106,126
C005266,126
C005362,126
C006820,126
C004433,126
C009013,126
C004485,126
C005935,126
C007606,126
C007800,126
C003712,126
C003559,126
C003573,126
C008505,126
C006075,126
C004083,126
C002661,126
C000722,126
C007900,126
C000906,126
C003713,126
C002538,126
C006160,126
C007026,126
C005221,126
C006456,126
C001262,126
C008113,126
C001887,126
C004102,126
C002777,126
C004223,126
C000989,126
C002583,126
C006524,126
C002416,126
C006059,126
C002458,126
C008959,126
C008888,126
C002991,126
C006586,126
C006420,126
C002223,126
C007821,126
C004017,126
C004230,126
C000869,126
C000276,126
C001576,126
C004086,126
C008607,126
C000590,126
C002085,126
C001699,126
C000225,126
C005531,126
C002645,126
C003192,126
C000633,126
C001230,126
C008151,126
C002786,125
C002631,125
C003214,125
C006159,125
C007302,125
C004904,125
C000367,125
C002879,125
C006624,125
C002502,125
C004351,125
C007680,125
C008217,125
C006355,125
C001056,125
C001314,125
C001719,125
C003227,125
C008994,125
C002835,125
C007565,125
C006688,125
C005990,125
C004302,125
C008524,125
C004814,125
C002479,125
C007356,125
C007716,125
C000678,125
C003307,125
C004960,125
C007948,125
C003623,125
C001298,125
C002866,125
C004295,125
C006707,125
C003842,125
C007005,125
C005698,125
C004280,125
C000094,125
C005913,125
C003769,125
