customer_key,first_purchase,last_purchase
C006069,2014-02-09 04:39:00,2021-01-10 10:48:00
C008701,2014-01-21 15:53:00,2021-01-17 03:09:00
C004917,2014-02-28 08:59:00,2021-01-20 23:00:00
C004019,2014-03-06 22:43:00,2021-01-18 20:19:00
C007147,2014-03-10 21:28:00,2020-10-25 22:27:00
C005981,2014-02-19 00:18:00,2020-12-05 07:41:00
C002884,2014-03-27 17:21:00,2021-01-13 10:07:00
C006086,2014-01-30 17:38:00,2020-12-20 18:26:00
C007142,2014-01-24 21:35:00,2020-12-04 23:18:00
C004916,2014-02-17 07:02:00,2021-01-20 15:02:00
C004273,2014-03-06 00:02:00,2021-01-11 13:27:00
C008708,2014-01-26 20:49:00,2020-12-18 21:00:00
C006988,2014-02-04 14:31:00,2021-01-07 08:54:00
C000490,2014-04-13 04:16:00,2021-01-20 19:48:00
C002080,2014-02-05 02:32:00,2020-12-29 01:11:00
C000248,2014-02-12 02:26:00,2021-01-13 22:16:00
C008751,2014-02-08 17:40:00,2020-12-08 10:51:00
C007265,2014-03-02 01:47:00,2020-12-01 05:11:00
C008497,2014-02-25 01:50:00,2021-01-12 04:52:00
C002933,2014-03-01 19:24:00,2020-12-23 02:59:00
C007130,2014-01-25 19:41:00,2020-11-11 09:51:00
C005907,2014-01-24 16:32:00,2020-12-25 07:37:00
C007137,2014-01-20 21:45:00,2020-10-27 05:20:00
C008480,2014-02-01 23:31:00,2021-01-18 14:40:00
C000647,2014-04-06 12:59:00,2020-12-22 17:11:00
C003271,2014-02-19 21:46:00,2020-12-03 16:18:00
C005580,2014-02-24 04:10:00,2020-12-22 19:29:00
C001381,2014-01-23 12:27:00,2020-12-05 20:53:00
C006800,2014-01-29 02:16:00,2021-01-07 11:20:00
C008056,2014-01-21 07:16:00,2020-12-20 02:15:00
C005235,2014-03-25 13:59:00,2021-01-08 22:27:00
C007956,2014-01-22 07:20:00,2020-11-18 10:42:00
C002581,2014-01-22 23:56:00,2021-01-14 16:42:00
C000159,2014-04-01 07:41:00,2020-12-04 12:19:00
C005494,2014-04-11 14:58:00,2021-01-21 15:09:00
C005672,2014-02-12 14:15:00,2021-01-03 11:55:00
C007228,2014-02-12 09:37:00,2020-12-12 12:55:00
C001595,2014-02-11 05:53:00,2021-01-21 16:53:00
C009035,2014-03-08 12:08:00,2021-01-20 23:44:00
C004702,2014-01-31 15:50:00,2020-12-04 03:25:00
C003692,2014-01-24 22:14:00,2021-01-06 03:30:00
C003911,2014-02-24 18:06:00,2021-01-21 06:58:00
C000447,2014-03-08 16:35:00,2021-01-21 14:08:00
C005103,2014-03-29 18:30:00,2021-01-02 21:22:00
C007994,2014-01-27 15:06:00,2020-10-18 04:09:00
C000712,2014-03-13 11:17:00,2020-12-29 03:15:00
C004878,2014-03-16 12:25:00,2021-01-05 10:29:00
C008012,2014-02-10 00:04:00,2021-01-06 14:37:00
C005177,2014-02-03 10:29:00,2020-11-05 13:35:00
C000774,2014-02-03 07:17:00,2021-01-20 19:50:00
C006610,2014-02-04 08:34:00,2021-01-07 02:06:00
C006334,2014-02-22 02:02:00,2021-01-22 22:53:00
C001943,2014-01-28 06:17:00,2021-01-08 02:14:00
C006137,2014-01-29 23:24:00,2021-01-22 18:52:00
C005715,2014-03-17 06:38:00,2021-01-11 18:11:00
C001618,2014-01-28 00:29:00,2021-01-17 18:59:00
C004201,2014-02-09 04:13:00,2021-01-16 09:36:00
C004482,2014-01-22 19:52:00,2020-12-28 19:18:00
C002537,2014-01-26 20:51:00,2020-12-31 14:01:00
C007736,2014-01-28 04:31:00,2021-01-11 16:57:00
C007098,2014-02-14 00:32:00,2021-01-19 20:36:00
C007616,2014-03-10 20:43:00,2021-01-08 09:23:00
C003105,2014-01-26 03:34:00,2020-11-05 23:43:00
C000374,2014-02-01 01:59:00,2021-01-16 02:24:00
C007395,2014-02-18 15:39:00,2021-01-04 17:07:00
C007466,2014-03-17 00:58:00,2021-01-03 15:56:00
C001865,2014-02-23 10:25:00,2021-01-16 05:53:00
C005331,2014-01-28 14:19:00,2020-12-29 02:24:00
C006169,2014-02-12 20:04:00,2021-01-05 22:43:00
C004052,2014-01-25 03:14:00,2020-10-17 00:32:00
C001708,2014-04-23 19:24:00,2021-01-20 22:14:00
C006881,2014-02-18 16:50:00,2020-12-16 11:09:00
C003249,2014-03-10 18:43:00,2021-01-14 16:21:00
C008858,2014-03-08 09:20:00,2020-12-29 02:35:00
C003652,2014-01-25 06:18:00,2020-12-02 06:11:00
C007546,2014-02-15 03:16:00,2020-11-21 14:26:00
C005889,2014-01-30 15:35:00,2020-12-30 18:11:00
C006385,2014-02-11 03:05:00,2020-12-31 09:20:00
C003904,2014-01-22 21:28:00,2021-01-23 02:18:00
C004721,2014-01-30 18:07:00,2020-11-20 00:47:00
C003213,2014-01-27 10:54:00,2021-01-04 06:15:00
C000275,2014-02-02 16:39:00,2020-12-17 15:46:00
C004037,2014-02-13 20:28:00,2021-01-13 22:41:00
C007278,2014-02-15 09:05:00,2021-01-13 23:35:00
C004196,2014-02-15 10:07:00,2021-01-09 19:34:00
C001243,2014-01-25 05:09:00,2021-01-12 21:07:00
C004921,2014-02-13 20:52:00,2021-01-06 09:11:00
C004450,2014-02-05 03:13:00,2020-12-08 12:25:00
C001369,2014-01-27 21:29:00,2020-11-29 12:50:00
C000035,2014-01-22 21:28:00,2021-01-20 19:44:00
C000403,2014-01-25 13:53:00,2021-01-13 19:03:00
C007332,2014-02-16 13:37:00,2021-01-15 06:06:00
C005693,2014-02-22 19:37:00,2021-01-06 16:39:00
C004643,2014-02-01 15:53:00,2020-12-08 22:35:00
C008432,2014-01-21 06:51:00,2021-01-01 00:31:00
C007898,2014-02-05 22:41:00,2021-01-20 07:25:00
C004828,2014-03-12 23:41:00,2020-12-19 11:08:00
C007827,2014-01-26 17:17:00,2020-09-18 05:10:00
C006934,2014-02-10 19:39:00,2020-12-12 02:01:00
C001114,2014-02-14 10:19:00,2020-12-15 19:59:00
C007199,2014-01-26 11:55:00,2021-01-13 02:19:00
C000223,2014-01-20 21:45:00,2021-01-13 16:21:00
C006944,2014-02-16 15:39:00,2021-01-08 23:14:00
C000523,2014-02-17 17:53:00,2021-01-14 11:11:00
C005168,2014-01-28 11:31:00,2020-12-22 20:54:00
C000310,2014-01-26 04:14:00,2021-01-10 08:36:00
C003662,2014-03-09 06:01:00,2021-01-07 08:21:00
C006627,2014-01-25 20:18:00,2020-12-27 02:22:00
C002030,2014-01-22 04:37:00,2021-01-15 15:57:00
C006470,2014-01-30 04:12:00,2021-01-09 17:47:00
C001272,2014-02-13 08:28:00,2021-01-02 11:12:00
C006281,2014-02-18 09:05:00,2021-01-08 04:38:00
C000538,2014-02-08 17:23:00,2020-12-21 13:37:00
C008816,2014-01-28 07:17:00,2021-01-19 00:21:00
C000005,2014-01-22 02:57:00,2020-11-23 07:07:00
C000455,2014-03-10 10:45:00,2021-01-13 08:18:00
C004899,2014-02-15 22:35:00,2021-01-14 13:38:00
C008620,2014-02-18 16:50:00,2021-01-07 19:54:00
C003943,2014-01-29 12:38:00,2021-01-20 11:22:00
C005891,2014-01-25 05:09:00,2021-01-04 05:41:00
C005680,2014-02-11 08:13:00,2021-01-22 00:22:00
C004718,2014-02-02 02:40:00,2020-12-26 13:06:00
C000870,2014-03-11 05:31:00,2021-01-04 15:59:00
C007579,2014-01-21 16:45:00,2021-01-10 01:56:00
C001665,2014-01-22 03:07:00,2020-11-27 00:05:00
C008241,2014-02-20 10:27:00,2020-10-01 17:07:00
C007105,2014-01-22 11:54:00,2020-12-16 15:52:00
C006209,2014-01-30 08:10:00,2021-01-22 02:27:00
C001333,2014-02-06 19:09:00,2021-01-15 06:51:00
C009152,2014-01-29 12:05:00,2020-12-19 14:59:00
C002980,2014-01-21 18:50:00,2021-01-05 06:03:00
C006736,2014-01-25 02:52:00,2021-01-15 03:32:00
C009023,2014-02-18 00:51:00,2020-12-25 03:25:00
C009135,2014-02-11 16:54:00,2021-01-09 11:44:00
C008426,2014-01-23 19:29:00,2020-12-06 00:32:00
C003378,2014-01-29 22:55:00,2021-01-18 21:18:00
C001486,2014-02-09 05:16:00,2021-01-20 23:10:00
C008958,2014-01-28 20:45:00,2021-01-20 15:02:00
C001000,2014-01-27 04:58:00,2021-01-22 08:13:00
C000512,2014-01-22 03:00:00,2021-01-20 19:50:00
C008030,2014-05-05 04:12:00,2021-01-10 19:49:00
C001991,2014-02-20 09:43:00,2020-12-14 13:28:00
C005733,2014-01-25 06:38:00,2020-11-18 05:38:00
C002346,2014-04-24 12:36:00,2020-12-17 00:05:00
C003573,2014-03-17 19:32:00,2021-01-09 21:19:00
C008357,2014-03-19 09:10:00,2020-12-26 13:06:00
C000366,2014-02-09 00:09:00,2020-12-29 22:12:00
C004657,2014-02-13 21:39:00,2021-01-20 06:44:00
C000078,2014-02-26 14:57:00,2021-01-21 21:13:00
C001874,2014-02-22 07:31:00,2020-12-30 08:10:00
C003927,2014-01-20 21:18:00,2021-01-14 12:48:00
C006018,2014-01-29 19:08:00,2020-12-11 22:54:00
C005273,2014-02-02 23:33:00,2020-12-15 12:00:00
C006702,2014-02-14 12:09:00,2020-11-30 14:04:00
C005994,2014-02-07 09:16:00,2020-12-21 01:51:00
C005665,2014-04-25 22:13:00,2020-12-29 22:12:00
C003994,2014-01-20 20:30:00,2021-01-13 15:34:00
C006872,2014-01-29 19:54:00,2020-12-08 13:50:00
C006408,2014-05-23 18:44:00,2020-12-28 06:22:00
C008454,2014-02-04 14:35:00,2020-12-06 05:14:00
C001204,2014-03-12 22:28:00,2021-01-20 18:41:00
C008362,2014-01-21 00:39:00,2020-12-28 18:15:00
C001572,2014-02-01 06:52:00,2020-12-20 12:59:00
C000352,2014-01-20 16:53:00,2021-01-17 20:54:00
C008760,2014-01-24 23:54:00,2021-01-22 09:59:00
C004639,2014-01-29 17:31:00,2020-11-11 19:24:00
C008201,2014-02-03 09:33:00,2020-12-09 04:23:00
C006484,2014-01-22 12:31:00,2021-01-12 14:07:00
C005827,2014-01-23 00:03:00,2020-12-13 03:37:00
C003004,2014-01-30 04:12:00,2021-01-09 13:15:00
C005707,2014-02-10 11:31:00,2021-01-20 05:23:00
C007753,2014-01-22 03:14:00,2020-12-12 23:16:00
C007550,2014-01-24 17:50:00,2021-01-08 22:23:00
C004629,2014-02-01 05:52:00,2021-01-04 06:15:00
C002239,2014-01-27 02:06:00,2020-11-14 22:55:00
C000217,2014-02-25 17:57:00,2020-12-24 03:34:00
C000128,2014-04-05 03:27:00,2021-01-16 01:14:00
C009173,2014-01-30 23:55:00,2021-01-01 10:27:00
C000636,2014-01-23 23:44:00,2021-01-11 03:44:00
C004267,2014-04-01 12:05:00,2021-01-16 05:53:00
C005884,2014-02-23 11:59:00,2021-01-15 15:40:00
C004693,2014-01-25 19:04:00,2020-12-31 17:10:00
C000740,2014-02-09 23:15:00,2021-01-14 10:18:00
C008868,2014-02-06 21:09:00,2020-12-20 03:31:00
C002410,2014-04-03 16:07:00,2020-10-10 09:53:00
C001122,2014-02-27 08:09:00,2020-12-23 23:35:00
