customer_key,total_spent,customer_segment
C006069,12984.0,VIP
C008701,12896.0,VIP
C004917,9294.5,Regular
C004019,11088.25,VIP
C007147,10300.25,VIP
C005981,11582.75,VIP
C002884,11162.75,VIP
C006086,9693.5,Regular
C007142,11865.25,VIP
C004916,9727.5,Regular
C004273,10720.0,VIP
C008708,12147.25,VIP
C006988,12987.25,VIP
C000490,12258.25,VIP
C002080,10371.25,VIP
C000248,12204.0,VIP
C008751,8280.0,Regular
C007265,11088.75,VIP
C008497,12032.0,VIP
C002933,11773.25,VIP
C007130,10899.0,VIP
C005907,9280.75,Regular
C007137,12486.5,VIP
C008480,10527.75,VIP
C000647,10135.75,VIP
C003271,10356.25,VIP
C005580,10887.25,VIP
C001381,12534.0,VIP
C006800,11737.25,VIP
C008056,10322.0,VIP
C005235,12451.25,VIP
C007956,10379.5,VIP
C002581,11802.0,VIP
C000159,12108.25,VIP
C005494,12909.75,VIP
C005672,9993.25,Regular
C007228,11139.0,VIP
C001595,10104.0,VIP
C009035,14044.0,VIP
C004702,12393.0,VIP
C003692,11118.75,VIP
C003911,11474.5,VIP
C000447,12368.25,VIP
C005103,10976.25,VIP
C007994,8712.75,Regular
C000712,9914.0,Regular
C004878,11485.0,VIP
C008012,12182.75,VIP
C005177,10745.0,VIP
C000774,11572.75,VIP
C006610,11444.0,VIP
C006334,10775.75,VIP
C001943,11819.0,VIP
C006137,12273.5,VIP
C005715,12183.5,VIP
C001618,11250.25,VIP
C004201,9945.75,Regular
C004482,12156.25,VIP
C002537,12224.25,VIP
C007736,12721.25,VIP
C007098,10490.75,VIP
C007616,12215.25,VIP
C003105,12329.5,VIP
C000374,10689.5,VIP
C007395,10897.25,VIP
C007466,11936.0,VIP
C001865,14319.5,VIP
C005331,14718.0,VIP
C006169,10138.5,VIP
C004052,11175.75,VIP
C001708,11667.25,VIP
C006881,9332.75,Regular
C003249,8486.5,Regular
C008858,11572.0,VIP
C003652,10999.0,VIP
C007546,11637.75,VIP
C005889,8633.25,Regular
C006385,12301.25,VIP
C003904,11300.25,VIP
C004721,10089.25,VIP
C003213,10741.75,VIP
C000275,13880.0,VIP
C004037,12076.75,VIP
C007278,11141.5,VIP
C004196,12853.0,VIP
C001243,10341.5,VIP
C004921,11417.75,VIP
C004450,12454.25,VIP
C001369,11202.5,VIP
C000035,10498.75,VIP
C000403,11235.75,VIP
C007332,9554.25,Regular
C005693,11806.75,VIP
C004643,11309.5,VIP
C008432,10917.25,VIP
C007898,12133.0,VIP
C004828,11861.0,VIP
C007827,11027.0,VIP
C006934,11609.25,VIP
C001114,12206.75,VIP
C007199,12831.5,VIP
C000223,13564.0,VIP
C006944,11492.75,VIP
C000523,12732.25,VIP
C005168,10894.5,VIP
C000310,9553.5,Regular
C003662,9970.5,Regular
C006627,11643.75,VIP
C002030,12834.75,VIP
C006470,11516.5,VIP
C001272,10693.0,VIP
C006281,9532.75,Regular
C000538,11584.25,VIP
C008816,10941.5,VIP
C000005,10893.25,VIP
C000455,12317.5,VIP
C004899,10604.25,VIP
C008620,10472.25,VIP
C003943,10018.5,VIP
C005891,10443.5,VIP
C005680,11605.75,VIP
C004718,13387.75,VIP
C000870,12841.75,VIP
C007579,10611.5,VIP
C001665,11815.25,VIP
C008241,10417.25,VIP
C007105,11214.5,VIP
C006209,13759.0,VIP
C001333,10828.25,VIP
C009152,13618.75,VIP
C002980,11147.5,VIP
C006736,10822.5,VIP
C009023,13589.0,VIP
C009135,14302.25,VIP
C008426,11345.25,VIP
C003378,12081.5,VIP
C001486,11589.5,VIP
C008958,12777.25,VIP
C001000,12520.5,VIP
C000512,12058.0,VIP
C008030,10558.0,VIP
C001991,10092.0,VIP
C005733,10233.5,VIP
C002346,12475.25,VIP
C003573,14583.5,VIP
C008357,11305.75,VIP
C000366,10287.5,VIP
C004657,10859.0,VIP
C000078,11494.75,VIP
C001874,11445.25,VIP
C003927,12185.25,VIP
C006018,10545.75,VIP
C005273,8420.5,Regular
C006702,11229.0,VIP
C005994,11973.25,VIP
C005665,9779.25,Regular
C003994,12457.75,VIP
C006872,13171.25,VIP
C006408,10237.0,VIP
C008454,13902.0,VIP
C001204,13264.25,VIP
C008362,8876.0,Regular
