customer_key,orders_count
C006069,118
C008701,113
C004917,90
C004019,109
C007147,92
C005981,106
C002884,99
C006086,99
C007142,107
C004916,85
C004273,113
C008708,131
C006988,127
C000490,117
C002080,106
C000248,114
C008751,92
C007265,112
C008497,115
C002933,119
C007130,121
C005907,96
C007137,124
C008480,111
C000647,100
C003271,103
C005580,102
C001381,112
C006800,113
C008056,101
C005235,108
C007956,110
C002581,113
C000159,106
C005494,119
C005672,104
C007228,116
C001595,100
C009035,125
C004702,116
C003692,103
C003911,109
C000447,114
C005103,111
C007994,84
C000712,108
C004878,109
C008012,112
C005177,110
C000774,115
C006610,108
C006334,106
C001943,112
C006137,96
C005715,111
C001618,117
C004201,96
C004482,110
C002537,122
C007736,110
C007098,114
C007616,115
C003105,125
C000374,107
C007395,99
C007466,111
C001865,125
C005331,129
C006169,99
C004052,115
C001708,111
C006881,99
C003249,100
C008858,112
C003652,104
C007546,114
C005889,99
C006385,102
C003904,109
C004721,100
C003213,104
C000275,122
C004037,112
C007278,104
C004196,116
C001243,102
C004921,111
C004450,111
C001369,109
C000035,96
C000403,109
C007332,96
C005693,114
C004643,109
C008432,108
C007898,122
C004828,107
C007827,98
C006934,101
C001114,113
C007199,124
C000223,104
C006944,110
C000523,113
C005168,104
C000310,86
C003662,91
C006627,109
C002030,122
C006470,102
C001272,100
C006281,104
C000538,119
C008816,102
C000005,108
C000455,124
C004899,104
C008620,109
C003943,95
C005891,113
C005680,111
C004718,128
C000870,109
C007579,99
C001665,114
C008241,113
C007105,98
C006209,120
C001333,104
C009152,130
C002980,96
C006736,106
C009023,121
C009135,124
C008426,104
C003378,104
C001486,107
C008958,107
C001000,110
C000512,113
C008030,103
C001991,91
C005733,96
C002346,118
C003573,126
C008357,113
C000366,99
C004657,115
C000078,115
C001874,107
C003927,107
C006018,101
C005273,87
C006702,105
C005994,104
C005665,94
C003994,124
C006872,118
C006408,106
C008454,121
C001204,125
C008362,89
C001572,103
C000352,117
C008760,100
C004639,114
C008201,97
C006484,113
C005827,114
C003004,98
C005707,98
C007753,120
C007550,120
C004629,122
C002239,112
C000217,87
C000128,107
C009173,122
C000636,121
C004267,117
C005884,111
C004693,103
C000740,111
C008868,112
C002410,101
C001122,118
C001316,121
C008785,108
C000046,102
C007694,120
C001005,103
C003170,102
C007121,108
C007186,114
C004252,93
C005445,98
C005434,102
C006666,120
C007324,99
C008102,104
C005576,116
C007118,100
C008230,123
C004029,103
C000081,92
C001655,125
C007453,116
C001792,93
C008982,119
C002017,113
C006812,118
C002954,100
C004974,98
C007034,125
C005269,114
C004309,114
C003440,105
C001765,116
C004493,121
C004447,104
C006329,105
C005115,99
C000317,108
C007315,105
C002621,111
C001730,115
C000207,103
C008946,114
C001498,116
C005365,111
C007533,109
C008727,110
C006726,91
C005155,125
C000343,109
C005956,134
C005384,93
C002342,103
C005721,97
C006838,116
C005280,96
C001180,118
C006079,98
C003617,127
C006851,95
C002378,88
C002484,105
C008530,103
C005065,105
C003799,116
C003935,104
C002226,119
C000499,111
C000603,114
C004993,103
C007831,92
C000184,105
C005457,108
C007169,95
C003205,113
C002304,117
C006291,105
C000026,99
C006862,105
C003755,101
C004424,102
C004466,118
C002553,99
C006415,100
C003640,106
C003969,113
C008733,110
C002665,98
C007584,120
C008021,107
C002351,112
C000581,106
C002549,116
C006467,99
C000921,127
C000069,119
C001069,112
C008178,101
C002295,102
C007050,122
C009169,110
C000388,85
C005438,114
C002839,94
C000913,109
C007750,101
C001186,110
C007606,126
C001196,117
C000383,116
C002670,138
C000532,95
C004568,93
C005145,112
C003085,127
C007487,138
C007242,119
C002819,112
C000853,86
C002361,109
C003997,114
C003677,114
C001820,111
C002504,105
C007978,115
C000100,129
C001039,116
C007460,94
C005837,91
C003885,120
C000844,100
C000836,102
C006562,112
C000621,98
C005593,106
C001945,110
C007596,106
C002687,99
C006407,119
C002912,106
C001813,101
C007985,112
C003722,100
C005197,105
C001548,115
C008577,110
C007551,129
C002746,112
C003549,100
C001225,104
C007156,105
C002088,109
C007448,103
C002517,99
C006498,108
C001960,89
C001685,112
C000121,103
C009007,106
C004061,121
C004129,103
C006555,115
C006514,95
C003870,108
C001951,110
C002107,112
C009071,96
C004028,115
C002430,96
C004517,119
C001626,101
C000325,116
C004772,112
C004845,114
C000372,124
C003230,95
C003047,98
C006196,124
C001795,115
C003712,126
C004782,103
C000351,106
C000414,116
C001573,119
C007722,107
C003559,126
C000481,108
C005897,111
C006667,86
C004514,118
C004506,117
C005420,125
C003570,118
C000360,114
C002341,106
C002784,119
C008408,108
C008121,89
C008290,107
C003643,108
C000289,106
C007800,126
C005563,121
C000589,110
C000618,94
C004886,124
C000994,110
C007210,128
C007421,131
C008606,94
C000718,100
C002029,89
C008794,116
C003859,112
C000706,115
C001672,119
C000608,100
C007292,107
C001611,94
C004933,121
C008782,103
C007829,99
C005862,107
C006792,106
C006395,103
C005412,127
C003902,109
C006788,77
C002732,121
C007238,99
C002039,107
C008674,100
C003141,106
C007836,93
C008682,112
C008934,134
C004795,124
C008349,112
C006370,93
C006869,103
C006035,116
C008359,83
C000510,99
C000889,107
C002037,119
C006235,132
C005797,108
C005303,104
C001129,112
C000187,112
C005488,92
C006967,112
C003932,109
C002668,97
C008650,121
C008087,111
C005367,117
C001021,106
C006292,111
C005497,116
C003400,125
C008041,93
C008289,110
C006373,107
C002275,107
C001609,95
C003988,100
C008922,106
C008057,93
C005980,102
C002994,109
C005935,126
C001309,97
C008110,102
C007368,115
C001550,117
C003518,109
C009017,107
C007901,98
C007180,84
C007266,104
C001246,109
C004986,116
C005312,107
C004911,117
C005529,111
C006449,118
C002317,99
C008660,113
C002960,102
C007088,93
C004646,111
C008822,112
C000658,110
C000299,86
C003659,110
C005869,114
C004759,112
C003980,110
C005300,91
C005521,101
C007997,119
C005393,106
C008469,117
C002869,104
C008941,113
C004229,103
C004839,106
C001530,122
C003587,114
C006818,100
C000109,105
C007076,97
C004006,109
C001772,108
C002233,105
C000736,112
C006884,120
C006924,119
C004057,116
C001276,95
C000726,127
C004181,94
C001844,110
C004191,114
C008182,110
C004081,107
C000663,90
C005674,141
C003379,108
C005573,117
C003155,119
C006949,131
C002130,114
C005474,112
C000675,109
C006891,104
C009041,108
C009102,109
C008077,117
C007889,95
C007271,108
C002797,105
C004710,95
C000311,100
C002264,117
C008504,98
C001427,134
C008138,99
C008997,97
C008067,101
C005137,113
C003187,94
C003263,115
C001326,114
C001517,116
C002443,100
C008613,132
C000458,108
C000008,105
C004044,99
C001374,113
C001267,125
C006185,99
C002061,114
C004032,86
C008425,90
C007765,113
C003568,103
C000520,96
C001639,107
C003494,123
C007116,121
C003222,115
C006327,108
C000907,104
C004449,135
C003111,107
C002122,99
C007511,121
C008305,116
C000292,105
C008027,94
C004954,96
C003578,116
C004891,117
C002632,120
C003955,103
C003390,120
C005636,98
C008251,102
C008642,102
C007899,111
C001973,110
C005185,121
C005710,101
C006206,106
C005091,102
C004430,107
C002727,110
C007106,107
C008410,121
C001218,115
C003024,101
C007175,105
C007646,111
C008131,107
C001359,111
C002320,94
C001438,138
C003399,114
C005702,105
C000960,102
C000301,130
C001962,95
C008204,97
C000984,119
C001234,109
C004472,102
C004981,103
C008046,124
C008240,101
C001402,103
C002345,99
C000239,111
C000822,110
C005660,102
C000743,90
C005328,105
C006585,106
C007964,103
C009170,104
C006489,104
C004179,113
C002495,109
C007726,129
C001160,111
C002813,110
C003514,118
C007489,130
C002333,109
C007667,109
C003995,111
C001028,120
C007629,107
C002943,103
C005846,101
C006230,112
C001491,112
C000174,102
C008105,119
C004297,123
C006510,130
C001697,104
C008623,114
C000412,88
C006452,107
C001569,115
C000357,110
C005778,117
C008451,105
C000810,117
C004696,121
C000579,112
C003828,114
C008098,103
C004752,87
C000226,123
C002014,105
C001279,129
C008846,134
C002110,116
C006602,108
C008877,107
C001317,104
C002656,104
C001127,96
C006397,120
C001686,104
C006100,105
C004003,104
C005633,111
C006155,98
C002921,96
C002305,97
C000342,106
C005154,134
C005383,95
C007699,107
C004540,108
C003938,116
C002225,104
C002662,115
C005677,109
C009036,120
C006020,131
C005885,135
C004079,111
C007655,119
C000528,112
C008074,120
C007312,105
C004711,96
C006365,106
C006381,112
C001783,105
C006145,106
C000759,91
C001428,119
C006690,111
C006915,91
C006278,118
C004429,99
C002595,111
C004667,102
C002355,98
C002965,98
C009093,107
C007955,107
C005689,108
C002546,89
C000181,99
C005929,121
C001850,99
C001974,120
C005285,114
C004084,109
C006074,102
C003561,111
C002323,111
C003200,136
C008134,108
C000068,106
C003027,88
C006506,87
C005116,111
C008367,130
C007589,118
C003502,102
C000293,104
C003895,99
C006464,112
C002485,101
C005127,110
C002970,122
C004998,104
C008533,104
C003311,123
C008154,102
C000900,106
C008485,97
C007797,109
C001481,104
C002437,111
C004957,124
C002150,115
C006953,114
C005106,100
C008754,120
C008639,133
C006655,93
C003014,119
C005234,98
C006029,108
C007055,111
C006066,111
C005439,96
C001447,122
C008704,99
C002294,124
C002178,127
C006575,106
C005036,120
C007362,109
C008389,115
C000624,112
C000249,112
C009181,103
C003406,119
C006444,90
C002324,106
C007524,113
C007261,104
C007560,95
C003975,121
C001532,111
C005629,118
C005712,109
C008656,112
C002532,120
C001615,121
C001147,102
C003280,114
C007131,108
C001692,112
C007196,107
C003674,104
C000208,103
C001705,101
C001526,106
C003246,97
C000681,128
C005602,128
C008837,106
C004806,110
C001918,114
C001922,127
C003108,109
C002099,112
C001680,96
C004913,110
C008813,102
C000750,111
C002673,106
C006030,122
C003546,106
C003070,124
C002838,110
C002887,117
C007443,104
C009070,103
C000592,114
C005856,127
C001860,99
C006641,101
C004520,99
C007995,109
C005453,117
C005348,117
C008220,111
C003918,113
C002368,103
C003436,117
C000120,93
C004775,123
C004683,113
C007009,86
C004485,126
C003258,109
C002197,129
C008935,121
C007351,101
C007040,119
C003480,101
